VERB,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,LAW,DATE,TIME,MONEY
"['direct', 'say', 'manufacture', 'intend', 'blow', 'obtain', 'search', 'provide', 'find', 'pick', 'pose', 'trace', 'produce', 'give', 'proceed', 'enter', 'apprehend', 'reveal', 'come']","['walter smith', 'jamal al quso']",[],[],"['troost ave', 'fbi', 'cyclotrimethylene trinitramine rdx', 'argosy riverside', 'harrahs']","['kansas', 'missouri', 'kansas city', 'chicago']",[],[],[],[],['22 december 2003'],[],[]
"['arrest', 'wear', 'apprehend', 'flee', 'identify', 'live', 'have', 'forge', 'produce', 'say', 'enter', 'come', 'speak', 'reveal', 'belong', 'amount', 'be', 'concern', 'rent', 'name', 'cause', 'pay', 'tell', 'discover', 'write', 'give']","['riyad al taifi', 'ruth tucker']",[],[],"['presidio texas', 'the university of texas']","['arlington', 'texas', 'mexico', 'columbia', 'dallas']",['central america'],[],[],[],"['26 december 2003', 'three months', '231 12th st']",[],[]
"['base', 'note', 'send', 'interview', 'give', 'obtain', 'bear', 'attend', 'drop', 'study', 'return', 'show', 'receive', 'ask', 'refer', 'reply', 'shakur', 'know', 'say', 'loan', 'request', 'address', 'die', 'remain']","['wali shakur', 'ahmed doha', 'abu ayyash', 'doha', 'ayyash', 'doha shakur', 'shakur']",['american'],[],"['fbi', 'paulson ave clifton nj', 'the american university', 'the university of missouri']","['new brunswick nj', 'pakistan', 'beirut', 'lebanon']",[],[],[],[],"['november 2003', '1970', '1965', 'two years', '1990', '1993', '3 november 2003', '2001', '2 january 2004']",[],[]
"['provide', 'photograph', 'distribute', 'write', 'know', 'frequent', 'describe', 'illustrate', 'become', 'call', 'prevent', 'single']","['jamal al', 'al shibhs']","['yemeni', 'islamic', 'muslims']",['the tawhid mosque'],['the university of miami campus'],"['miami florida', 'america', 'miami']",[],[],[],[],"['the past ten years', '2 february 2004']",[],[]
"['update', 'check', 'reveal', 'make']",['adnan hijazi'],[],[],[],"['madrid', 'spain', 'cairo', 'egypt', 'paris', 'france']",[],[],[],[],"['the last three months', '1  5 december 2003', '21', '24 december 2003', '18 january 2004']",[],[]
"['regard', 'observe', 'distribute', 'accompany', 'identify', 'be']","['jamal al', 'muhammed dandani']",[],[],['the university of miami campus'],['miami beach'],[],[],[],[],[],[],[]
"['regard', 'make', 'be', 'have', 'live', 'know', 'employ', 'work', 'hold', 'give', 'bear', 'continue']","['abdul al', 'livernois rd']","['american', 'saudi']",[],"['dia', 'fbi', 'fenkell ave resident', 'detroit utilities co', 'westfields']",['detroit'],[],[],[],[],"['seven years', 'ten years', '1969']",[],[]
"['regard', 'apprehend', 'see', 'come', 'want', 'air', 'escape', 'go', 'know', 'collaborate', 'follow', 'take', 'guane', 'travel', 'smuggle', 'supply', 'say', 'remember', 'reveal', 'associate']","['riyad al taifi', 'calamar', 'cartagena', 'billy jack hawkins', 'slade goodman']","['jewish', 'islamic', 'aryan']",[],"['fbi', 'chetumal', 'pipeline rd', 'euless texas', '899 almedagenoa rd']","['arlington texas', 'buenos', 'argentina', 'calamar columbia', 'columbia', 'cuba', 'guane cuba', 'chetumal mexico', 'mexico city', 'texas', 'us', 'ft stockton', 'san antonio', 'dallas', 'houston']",[],[],[],[],"['26 december 2003', '2 january 2004', 'january of 2001', 'april of 2002', 'may 2002', 'january 2003']",[],[]
"['work', 'see', 'come', 'attend', 'earn', 'grant', 'co', 'apply', 'say', 'have', 'increase', 'take', 'visit']","['abdul al', 'al']",[],[],"['the detroit utilities co', 'fbi', 'the university of michigan']","['saudi arabia', 'ann arbor', 'detroit', 'riyadh']",[],[],[],[],"['8 march 2004', '1994', 'an ma 1996', '1997', '1999', 'april of 2000', 'january 2001']",[],[]
"['receive', 'reside', 'bear', 'come', 'become', 'attend', 'obtain', 'travel', 'suspect', 'train', 'return', 'leave', 'work', 'know', 'draw', 'belong', 'name']",['imad'],"['islamic', 'british']",['mi 6'],['al qaeda'],"['nassau', 'bahamas', 'syria', 'uk', 'afghanistan', 'tampa fl']",['the gulf shores bank'],[],[],[],"['1964', '1994', '1998', '1999  2000', 'march of 2000', 'june of 2000']",[],[]
"['receive', 'regard', 'list', 'see', 'accord', 'send', 'tell', 'arrest', 'carry', 'license', 'give', 'live', 'make', 'reveal', 'occupy', 'identify', 'call', 'construct', 'find', 'ask', 'say', 'go', 'travel', 'leave']","['raeed beandali', 'beandali', 'reginald cooper', 'cooper', 'lavender grove', 'ralph bean', 'mahmud aldahab', 'al dahab', 'ralph']","['american', 'british', 'egyptian']",['mi 5'],"['al qaeda', 'cia', 'lavender grove hackney']","['afghanistan', 'london', 'mi 5', 'detroit']",[],[],[],[],"['15 feb 2003', '12 december 2002', '10 february 2004', 'about 15 years', '16 march 2004']",[],[]
"['forfeit', 'guarantee', 'see', 'fail', 'locate', 'turn', 'close', 'flee', 'bear', 'find', 'abandon', 'overlook', 'list', 'reside', 'act', 'obtain', 'place', 'say', 'let', 'know', 'play', 'take', 'get', 'receive', 'hope', 'go', 'occupy', 'move', 'evict', 'pay']","['omar blakely', 'muhammed mustafa', 'abdul al', 'rifai', 'howard clark', 'clark']",['qasim'],['hayes ave'],"['rifai qasim alias', 'fbi', 'tqe732', 'toyota', 'dia']","['charlotte', 'detroit']",[],['tercel'],[],[],"['25 october 2003', 'four weeks', '23 october 2003', '1997', '15 december 2003', 'march 2004', '15 may 2004', '20 may 2004', 'just a few days earlier', 'two months']",[],[]
"['take', 'stay', 'attend', 'make']","['adnan hijazi', 'luxor']",[],['the catalan hotel'],['overseas exports inc'],"['madrid', 'cairo', 'paris', 'france']",[],[],[],[],"['between 2  5 december 2003', 'between 22  24 december 2003', 'between 13  18 january 2004']",[],[]
"['attend', 'report', 'record', 'see', 'identify', 'name', 'give', 'take', 'involve', 'place', 'discuss', 'express', 'compromise']","['khalid shamrani', 'billy jack hawkins', 'slade goodman', 'hafs', 'shamrani', 'walter smith', 'al quso']",['aryan'],['the westerner motel'],['fbi'],"['texas', 'houston', 'kansas']",['the houston area'],[],[],[],"['20 november 2003', 'halfs', 'at least several months']",[],[]
"['concern', 'apprehend', 'see', 'speak', 'refuse', 'answer', 'ask', 'represent', 'fingerprint', 'hold', 'reveal', 'write', 'name', 'address', 'say', 'go', 'continue']","['springs tx', 'abdul nasser', 'ali alomari']",[],[],['fbi'],['carrizo'],[],[],[],[],"['3 august 2004', '11 august 2004']",[],[]
"['concern', 'continue', 'make', 'total']","['adnan hijazi', 'hijazi']",[],[],['the jersey national bank'],['newark nj'],[],[],[],[],"['the period 20 august', '18 september 2004', '47980']",[],[]
"['request', 'live', 'send', 'note', 'report', 'obtain', 'associate', 'appear', 'receive', 'polish', 'sell', 'specify', 'admit', 'transfer', 'agree', 'cooperate', 'list', 'tanzanite', 'name', 'run', 'say', 'ask']","['pieter dopple', 'adnan hijazi', 'hijazi', 'ramundo ortiz']","['belgian', 'islamic']",[],"['fbi', 'dopple']","['antwerp belgium', 'panama city', 'panama', 'peshawar', 'pakistan']",['africa'],[],[],[],"['1 september', '12 july 2004', '25 september']",[],[]
"['manage', 'perform', 'include', 'control', 'maintain', 'access', 'associate']",[],[],[],[],['scada'],[],[],[],[],[],[],[]
"['continue', 'reveal', 'send', 'call', 'locate']",['adnan hijazi'],[],[],"['the american islamic scholarship fund', 'reston va']",[],[],[],[],[],['14 september 2004'],[],[]
"['act', 'begin', 'know', 'involve', 'design', 'disrupt', 'address', 'request', 'follow', 'go', 'find', 'reveal', 'advise']","['ronald derwish 811 tecumseh rd', 'ontario abdul al', 'raeed beandali', 'ralph bean']",[],[],"['fbi', 'fenkell ave', 'detroit utilities co', 'detroit utilities']","['detroit', 'scada', 'al namis', 'canada']",[],[],[],[],"['11 october 2004', 'weeks', '20 october 2004']",[],[]
"['advise', 'see', 'contact', 'go', 'texeast', 'employ', 'say', 'request', 'return', 'die', 'place', 'reveal', 'name', 'leave']","['khalid shamrani', 'shamrani']",['aryan'],[],[],"['texas', 'saudi arabia']",[],[],[],[],"['nearly a month', '18 september 2004', 'months', 'the past month']",[],[]
"['reveal', 'say', 'tell', 'need', 'remember', 'use', 'remove']",[],[],[],['storeall rental'],"['texas', 'houston']",[],['rentall'],[],[],"['4618', '15 october 2004', 'the next day']",[],[]
"['report', 'approach', 'say', 'agree', 'accompany', 'deny', 'have', 'see', 'show', 'know', 'attend', 'reveal', 'hold', 'continue']","['ronald derwish 811 tecumseh rd', 'abdul', 'abdul al', 'ali']",[],['mosque'],"['windsor ontario', 'canada eastern airlines', 'derwish', 'marrakech', 'nsa', 'dia']","['morocco', 'detroit']",[],['courtapproved'],[],[],"['25 october', '1 july 2003', '5 march 2004', '18 july 2004']",[],[]
"['go', 'locate', 'interview', 'name', 'lead', 'describe', 'deserve', 'assist', 'begin', 'ask', 'receive', 'make', 'check', 'verify', 'hesitate', 'say', 'identify', 'happen', 'stipulate', 'follow', 'send', 'contribute']","['abdul karim karim', 'adnan hijazi', 'hijazi karim', 'hijazi', 'wali shakur', 'al midhar', 'md mamoun', 'potomac md', 'khadr 6132', 'muhammed dandani']",['islamic'],['ny mounir'],"['the american islamic scholarship fund located', 'reston va', 'karim', 'paulson ave clifton nj', 'pitkin ave', 'zammar 1621 charles ave']","['brooklyn', 'miami beach']",[],[],[],[],"['29 october 2004', '1991', '14 september 2004', '1641', '17 september 2004', '1999', '2001']",[],[]
"['request', 'arrive', 'ask', 'say', 'attend', 'correspond', 'reply', 'do', 'meet', 'have', 'name', 'see', 'hear', 'involve', 'make', 'access', 'require', 'call', 'supply', 'receive', 'regard', 'search', 'approve', 'find', 'describe', 'design', 'assess', 'associate', 'proceed']","['abdul al', 'al', 'satam alias', 'ronald derwish', 'khaled jehani']",[],['mosque'],"['windsor ontario al', 'marrakech', 'dia', 'detroit utilities co']","['detroit', 'morocco', 'scada']",[],[],[],[],"['27 october 2004', '5 march 2004']","['the morning', 'nights']",[]
"['receive', 'sign', 'mail', 'carry', 'say', 'suffer', 'travel', 'guane']","['ramon', 'cartagena columbia', 'victoria tx']",[],[],['around victoria tx'],"['houston', 'texas', 'guane cuba', 'chetumal mexico', 'piedras', 'negras mexico']",[],[],[],[],['1 december 2004'],[],[]
"['receive', 'sign', 'have', 'mail', 'send', 'say', 'bring', 'travel', 'guane', 'close']","['juan', 'cartagena columbia', 'victoria tx']",[],[],['fmd'],"['houston field', 'guane cuba', 'ciudad madero mexico', 'ciudad', 'acuna mexico']",[],[],[],[],['3 december 2004'],[],[]
"['track', 'note', 'post', 'call', 'claim', 'keep', 'identify', 'follow', 'tell', 'know', 'get', 'steal', 'go']",[],[],[],[],['us'],[],[],[],[],"['6 december 2004', '1 december 2004']",[],[]
"['report', 'make', 'say', 'book', 'leave', 'return', 'hold', 'take']","['muhammed dandani', 'dandani']",[],[],[],"['miami', 'nassau', 'bahamas']",[],[],[],[],"['29 november 2004', 'just a month', '15 november 2004', '21 november 2004', '13 december 2004', '19 december 2004', '20 september 2004']",[],[]
"['make', 'see', 'be', 'obtain', 'report', 'name', 'book', 'vike', 'leave', 'return', 'arrive', 'follow', 'have']","['wali shakur', 'al midhar']",['norwegian'],[],"['fbi', 'mamoun zammar']","['new york city', 'baltimore', 'nassau', 'bahamas']","['nyc', 'caribbean']",[],[],[],"['13 december 2004', '20 september 2004', '14 november 2004', '21 november 2004', '12 december 2004', '19 december 2004', '18 december 2004', '21 september 2004', '7 november 2004', '17 december 2004']",[],[]
"['apprehend', 'say', 'become', 'present', 'register', 'have', 'seem', 'list', 'allow', 'stay', 'make', 'inform', 'verify', 'be', 'interview', 'steal', 'cross', 'pass', 'hold', 'question', 'reveal', 'write', 'include']",['mike sanders'],[],[],['motel'],"['carrizo', 'texas', 'fannin st', 'laredo', 'piedras']",[],[],[],[],"['3 august 2004', '2 august 2004']",[],[]
"['perform', 'send', 'name', 'address', 'state', 'contain', 'have', 'estimate', 'result', 'pursue', 'reseal', 'deliver']","['pieter dopple', 'hijazi']",['usps'],[],"['hoveniersstraat', 'antwerp belgium', 'newark nj', 'fbi']",[],[],[],[],[],['1212 lyons ave'],[],[]
"['bear', 'capture', 'enter', 'go', 'provide', 'talibanal', 'say', 'have']","['abdul ahmed nasser', 'baglan']","['saudi', 'russians', 'american']",[],['abba'],['chechnya'],[],[],[],[],"['october 1967', '3 february 04', '1997']",[],[]
"['call', 'say', 'capture', 'come', 'go', 'ask', 'chitral', 'stay', 'know', 'seek', 'name', 'run', 'plan']","['kamal abdullah', 'pakistan abdullah', 'abdullah', 'ali', 'talat rushdi']","['jordanian', 'egyptian', 'saudi', 'americans']",[],['al qaeda'],"['asadabad', 'afghanistan', 'pakistan', 'omar']",['the khost area'],[],[],[],"['1 february 2004', '2000', 'december 2003']",[],[]
"['name', 'capture', 'carry', 'examine', 'find', 'contain', 'regard', 'control', 'obtain', 'train']","['khaled jehani', 'jehani', 'abu somad', 'yazid bafaba', 'abdul al']","['saudi', 'canadian', 'american']",['ma degree'],['the university of maryland'],"['usa', 'los angeles', 'canada', 'detroit']",[],[],[],[],"['16 february 2004', '1995', '1997']",[],[]
"['name', 'arrest', 'charge', 'attempt', 'sell', 'represent', 'call', 'reveal', 'carry', 'read']","['igor kolokov', 'kirov', 'kolokov']","['russian', 'egyptian']",[],['the soviet institute vector'],"['cairo', 'moscow', 'strizi', 'russia', 'h', 'peshawar']",['the middle east'],[],[],[],['29 january 2003'],[],[]
"['wound', 'send', 'train']","['david loiseau canadian', 'raeed beandali', 'al khaldun', 'fahd khadr canadian']",['american'],[],[],"['toronto', 'gizab', 'qalat', 'london']",[],[],[],[],"['march 2002', '26 november 2002', '12 december 2002', '23 october 2000']",[],[]
"['move', 'work', 'associate', 'photograph', 'identify', 'know', 'conduct']","['cesar arze', 'arze', 'lopez']","['dominican', 'cuban']",[],[],"['havana cuba', 'santo domingo', 'santo', 'bogota columbia', 'lopez']","['central america', 'caribbean']",[],[],[],"['1992', '23 january 2003']",[],['77 avenue francis santo']
"['report', 'observe', 'know', 'discuss', 'recognize', 'say', 'believe', 'work', 'state', 'visit', 'arrange', 'need', 'supply', 'sell', 'distribute']",['jose escalante'],"['cubans', 'cuban', 'central american']",['calamar'],[],"['havana', 'columbia', 'ecuador', 'peru']",['caribbean'],[],[],[],"['3 march 2003', '1991']",[],[]
"['hold', 'bear', 'live']",['pyotr'],[],[],['the vector institute'],"['strizi', 'russia', 'moscow']",[],[],[],[],['26 december 1950'],[],[]
"['head', 'appear', 'receive', 'taha', 'record', 'specialize', 'have', 'award', 'treat']","['osama bin laden', 'khalid taha', 'fahd al badawi']","['egyptian', 'saudi']",[],"['hamid qatada', 'salman', 'al qaeda', 'jorm taloqan', 'the salang tunnel', 'university of cairo egypt']",['kashmiri'],['khost area'],[],[],[],"['2002', '22 september 2002', '2001', 'july 2000']",[],[]
"['issue', 'concern', 'name', 'have', 'occupy', 'want', 'blow', 'provide', 'learn', 'leave', 'use', 'rafiki', 'report', 'know', 'say', 'visit', 'identify', 'murad', 'mention', 'do']","['zinedine alias', 'abu hafs', 'murad']","['moroccan', 'zinedine', 'french']",['the al badr ii'],"['amercan', 'al qaeda', 'montreal canada', 'zinedine']","['paris', 'afghanistan', 'chicago', 'america']",['zakarya ziyad'],[],[],[],"['2 april 2003', 'the fall of 2001', '1997  2000', '1 april 2003']",[],[]
"['apprehend', 'wound', 'say', 'shoot', 'attempt', 'desert', 'take', 'place', 'encourage', 'talk', 'reveal', 'show', 'ask', 'identify', 'know', 'remember']","['mohamed al omari', 'omari', 'dr badawi', 'mamdouh al hazmi', 'hasham omari']","['saudi', 'pakistani', 'american']",[],"['al qaeda', 'omari']","['peshawar', 'omari', 'afghanistanpakistan border', 'afghanistan']",[],[],[],[],"['12 january 2003', '2001', '2 january 2003']",[],[]
"['report', 'trade', 'represent', 'acquire', 'identify', 'do', 'request', 'send', 'give', 'deliver', 'mark', 'have']",[],['arab'],[],['panamico ave'],"['liberia', 'panama city', 'panama']",[],[],[],[],[],[],[]
"['respond', 'name', 'give', 'leave', 'show', 'travel', 'return', 'hold', 'live', 'employ', 'work', 'mention', 'associate', 'come', 'apply', 'refuse', 'repeat', 'convict', 'incite', 'serve', 'suspend', 'reveal']","['omar mahmoud othman', 'omar hanif', 'othman', 'hanif', 'jamal al quso']",['british'],"['the baker st mosque', 'mosque', 'mi 5']",[],"['london', 'uk', 'afghanistan', 'islamabad', 'nassau', 'bahamas', 'yemen', 'chicago']",[],[],[],[],"['the period 1993  1998', 'a year', '1999', 'february of 1999', 'december 1999', '1993', '1998', '1996', 'oneyear', 'july 17 1999']",[],[]
"['suspect', 'raid', 'flee', 'leave', 'be', 'issue', 'name', 'include', 'take', 'write', 'call', 'open', 'address', 'find', 'state']","['yasir salman', 'topoff', 'f badawi']","['pakistani', 'arabic']",[],"['al qaeda', 'house', 'safrygin']","['peshawar', 'karachi']",[],[],[],[],"['15 may 2003', 'the day', '2002', 'march 10 2003']",[],[]
